date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
30/03/2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000
29/12/2018,11401892196,9077892196,0.219371,0.070056,0.302984,1.72,33.5888,4679000000,0.9953,0.3722,0.036879,0.034983,0.947602,0.3031,0.002467,0.115128,0.066099,7.34,59386000000,17993000000,99941000000,44424000000,20665000000,11379000000,14157000000,-5629000000,-8670000000,2970000000
29/09/2018,13132532012,9576532012,0.261041,0.107063,0.309856,1.68,32.3643,4465000000,0.942,0.3869,0.469244,0.055369,1.563195,0.3186,0.395046,0.134433,0.077933,8.4,59434000000,18416000000,98598000000,44643000000,20874000000,13066000000,14295000000,-5336000000,-8843000000,2899000000
30/06/2018,12543673722,4904673722,0.257292,0.052281,0.302749,1.68,30.7664,4159000000,0.8771,0.4623,0.400353,0.127826,-0.501078,0.3074,0.332056,0.130644,0.043351,7.99,57906000000,17531000000,98792000000,47584000000,23673000000,12512000000,14012000000,-5964000000,-8148000000,3155000000
31/03/2018,12042986557,5849986557,0.245745,0.007032,0.301936,1.62,29.9013,3744000000,0.852,0.4957,0.304348,0.101583,-0.379947,0.3199,0.238397,0.125713,0.024793,7.54,56916000000,17185000000,97943000000,48142000000,24684000000,11927000000,14433000000,-5526000000,-8792000000,3148000000
30/12/2017,11383060327,4661060327,0.237961,0.012525,0.301863,1.62,28.4609,3564000000,0.8691,0.541,0.27027,0.112576,-0.484758,0.3222,0.211678,0.11992,0.009643,7.1,55704000000,16815000000,97734000000,49509000000,26091000000,11351000000,13135000000,-4119000000,-8556000000,3206000000
30/09/2017,9357169278,3736169278,0.200396,-0.005619,0.301703,1.56,26.1819,3623000000,0.8109,0.548,-0.006981,0.095917,-0.619824,0.314,-0.043309,0.099733,-0.008898,5.73,55137000000,16635000000,95789000000,49637000000,25291000000,9366000000,12343000000,-4111000000,-8959000000,3202000000
01/07/2017,9459540751,9830540751,0.199433,-0.014668,0.30018,1.56,27.0553,3810000000,1.0033,0.4818,0.017953,-0.00617,0.28562,0.2728,-0.025521,0.102283,-0.008964,5.69,55500000000,16660000000,92752000000,46701000000,22187000000,9393000000,12294000000,-4822000000,-8692000000,4141000000
01/04/2017,9529655915,9434655915,0.202168,0.033115,0.307262,1.49,27.5198,4140000000,0.9369,0.4581,0.058932,0.001561,0.447054,0.2787,0.006795,0.105794,0.013005,5.78,55539000000,17065000000,91807000000,44540000000,21653000000,9631000000,11824000000,-5110000000,-8065000000,4155000000
31/12/2016,9213347383,9046347383,0.196446,0.022599,0.301004,1.49,26.9557,4407000000,0.8627,0.4343,0.035448,0.002805,0.519081,0.2504,-0.01576,0.103117,0.015722,5.58,55172000000,16607000000,91576000000,44399000000,20490000000,9368000000,12125000000,-4995000000,-7645000000,4220000000
01/10/2016,9351464891,9827464891,0.204005,0.077552,0.300708,1.42,26.3972,4773000000,1.0074,0.4262,0.169388,-0.008057,0.58915,0.2261,0.105965,0.108648,0.060364,5.76,55632000000,16729000000,92033000000,44710000000,20170000000,9790000000,13136000000,-5758000000,-7220000000,4280000000
02/07/2016,9167537506,7646537506,0.195412,0.147083,0.301918,1.42,27.0956,4895000000,0.9748,0.4246,0.155602,0.025951,0.025779,0.2036,0.103365,0.108133,0.090764,5.62,56002000000,16908000000,90914000000,42768000000,20441000000,9639000000,13419000000,-5416000000,-6880000000,3228000000
02/04/2016,9015907138,6519907138,0.19573,0.142482,0.30128,1.37,26.8558,4916000000,0.9957,0.44,0.167742,0.042759,0.067546,0.2199,0.123297,0.108718,0.081231,5.48,54826000000,16518000000,90264000000,42254000000,21122000000,9566000000,12597000000,-5456000000,-5660000000,3247000000
02/01/2016,8882143299,5955143299,0.19831,0.140129,0.29898,1.37,26.3537,4673000000,0.9453,0.3924,0.191111,0.051698,-0.121399,0.2101,0.1407,0.107453,0.088646,5.41,54318000000,16240000000,90121000000,41923000000,18915000000,9518000000,11986000000,-5052000000,-7260000000,3268000000
03/10/2015,8407102106,6184102106,0.18283,0.13678,0.295912,1.81,26.0532,4265000000,1.026,0.3563,0.150235,0.039099,-0.011027,0.1973,0.105947,0.102737,0.074816,4.95,52465000000,15525000000,88182000000,39527000000,17336000000,8852000000,11385000000,-4245000000,-5801000000,2643000000
27/06/2015,8265369248,7454369248,0.176273,0.100657,0.287094,1.81,27.1882,4124000000,1.1137,0.3024,0.158654,0.014031,0.938353,0.1745,0.102752,0.102122,0.069803,4.85,51342000000,14740000000,87367000000,36860000000,15273000000,8736000000,10686000000,-4108000000,-5861000000,2694000000
28/03/2015,8065375790,6107375790,0.174908,0.125136,0.285128,1.15,26.8443,3857000000,1.1667,0.3007,0.195373,0.034706,0.190935,0.1788,0.129893,0.101203,0.07649,4.69,50707000000,14458000000,85715000000,35978000000,14957000000,8516000000,10814000000,-4161000000,-6617000000,2575000000