date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
2019-03-31,2019-03-31,13767905637.0,24840905637.0,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000.0,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000.0,18442000000.0,155000000000.0,96263000000.0,45143000000.0,11507000000.0,11507000000.0,2408000000.0,-18188000000.0,2859000000.0
2018-12-31,2018-12-31,13169304080.8,25215304080.8,0.165241,-0.016474,0.340541,1.38,10.6055,2042000000.0,1.5671,0.6547,-0.46875,-0.13361,1.144514,0.2426,-0.476095,0.067557,0.020953,1.9,53647000000.0,18269000000.0,159422000000.0,95664000000.0,41740000000.0,11188000000.0,11188000000.0,4525000000.0,-20441000000.0,2767000000.0
2018-09-30,2018-09-30,24216075154.2,15950075154.2,0.359408,0.094274,0.37667,1.36,11.9108,2057000000.0,1.4333,0.5726,1.444444,0.099932,0.28114,0.3082,1.423319,0.140353,0.01721,4.01,53373000000.0,20104000000.0,168000000000.0,96174000000.0,41037000000.0,23860000000.0,23860000000.0,530000000.0,-17777000000.0,6444000000.0
2018-07-01,2018-07-01,23802153263.1,14167153263.099998,0.350821,0.199864,0.36555,1.34,11.7199,1960000000.0,1.1601,0.5778,1.729927,0.116139,5.117052,0.3628,1.708378,0.135313,0.017117,3.79,53243000000.0,19463000000.0,164980000000.0,94856000000.0,40518000000.0,22596000000.0,22596000000.0,423000000.0,-18082000000.0,6595000000.0
2018-04-01,2018-04-01,23855580081.7,11748580081.7,0.337157,0.282833,0.356236,1.32,11.5838,0.0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000.0,18764000000.0,165000000000.0,94071000000.0,40841000000.0,21795000000.0,21795000000.0,159000000.0,-19163000000.0,6945000000.0
2017-12-31,2017-12-31,23813050629.8,11758050629.8,0.324801,0.316629,0.3535,1.3,11.7674,1956000000.0,1.3521,0.6069,2.008547,0.154347,11.31229,0.2796,1.947143,0.12423,-0.005263,3.57,52546000000.0,18575000000.0,171797000000.0,100141000000.0,43491000000.0,21355000000.0,21355000000.0,-4740000000.0,-13350000000.0,7015000000.0
2017-10-01,2017-10-01,10671909458.2,12449909458.2,0.157901,0.429728,0.350143,1.28,10.056,1945000000.0,1.4279,0.7192,0.60396,-0.021043,5.190813,0.3408,0.563602,0.056263,-0.014537,1.65,52470000000.0,18372000000.0,172000000000.0,111041000000.0,43951000000.0,9846000000.0,9846000000.0,-3068000000.0,-11920000000.0,7311000000.0
2017-07-02,2017-07-02,10277010053.2,2316010053.200001,0.13704,0.173819,0.309874,1.26,9.6647,1927000000.0,1.3386,0.7446,0.212389,0.106147,1.282801,0.2973,0.178223,0.049076,0.001167,1.39,52347000000.0,16221000000.0,169000000000.0,109863000000.0,43705000000.0,8343000000.0,8343000000.0,-4438000000.0,-11871000000.0,7008000000.0
2017-04-02,2017-04-02,10256245280.9,-1464754719.1000004,0.12004,-0.009279,0.27809,1.24,9.5885,1880000000.0,1.443,0.7492,-0.02459,0.16956,-0.087934,0.2284,-0.042467,0.044154,0.031495,1.21,52598000000.0,14627000000.0,169000000000.0,110038000000.0,44010000000.0,7328000000.0,7328000000.0,-7378000000.0,-6964000000.0,7346000000.0
2016-12-31,2016-12-31,10511802179.4,-1140197820.6000004,0.116086,-0.000921,0.267076,1.22,9.6639,1823000000.0,1.2518,0.7033,0.054054,0.175347,-0.300668,0.1579,0.037217,0.042749,0.081329,1.18,52824000000.0,14108000000.0,172000000000.0,111776000000.0,42086000000.0,7246000000.0,7246000000.0,-7791000000.0,-9228000000.0,7116000000.0
2016-10-02,2016-10-02,10664237468.8,-2970762531.200001,0.09634,-0.230953,0.241342,1.18,10.2896,1745000000.0,1.1077,0.6929,-0.240602,0.192424,-3.153919,0.1884,-0.212777,0.0361,-0.069925,1.02,53244000000.0,12850000000.0,178000000000.0,114829000000.0,44070000000.0,6297000000.0,6297000000.0,-6928000000.0,-8209000000.0,9507000000.0
2016-07-03,2016-07-03,10688461816.0,-8189538184.0,0.108733,-0.193334,0.264296,1.16,10.2041,1602000000.0,1.3659,0.7006,-0.198582,0.336374,-1.445832,0.0067,-0.206611,0.042672,0.084862,1.15,52286000000.0,13819000000.0,171000000000.0,107592000000.0,44181000000.0,7081000000.0,7081000000.0,-7790000000.0,-6810000000.0,13124000000.0
2016-04-03,2016-04-03,10265635959.3,-1346364040.7000008,0.116899,-0.171353,0.289536,1.14,10.1271,1459000000.0,1.4372,0.6215,-0.152778,0.201899,-1.07781,-0.0328,-0.169146,0.047304,0.038195,1.24,50992000000.0,14764000000.0,162929000000.0,99582000000.0,39370000000.0,7653000000.0,7653000000.0,-5217000000.0,-10602000000.0,14146000000.0
2015-12-31,2015-12-31,9199375348.6,-876624651.3999996,0.102269,-0.205659,0.289063,1.12,10.3395,1397000000.0,1.49,0.5985,-0.21831,0.178732,-1.04506,-0.101,-0.238002,0.041762,-0.0152,1.13,48851000000.0,14121000000.0,167000000000.0,102384000000.0,38899000000.0,6986000000.0,6986000000.0,-2980000000.0,-10409000000.0,15999000000.0
2015-09-27,2015-09-27,8773235935.8,1379235935.7999992,0.110006,-0.105083,0.291876,1.1,10.7019,1140000000.0,1.6161,0.5795,-0.203593,0.116505,-0.889548,-0.0764,-0.266012,0.046746,0.405869,1.36,57247000000.0,16709000000.0,170867000000.0,103743000000.0,38897000000.0,7999000000.0,7999000000.0,-2270000000.0,-12242000000.0,16233000000.0
2015-06-28,2015-06-28,9279092831.6,18369092831.6,0.123841,-0.115774,0.355444,1.08,10.7106,1126000000.0,2.142,0.5228,-0.140244,-0.139392,0.4426,-0.1582,-0.144459,0.053525,-0.042343,1.43,48196000000.0,17131000000.0,160878000000.0,93698000000.0,35123000000.0,8925000000.0,8925000000.0,438000000.0,-14866000000.0,17650000000.0
2015-03-29,2015-03-29,9483326332.7,17303326332.7,0.126477,-0.148734,0.362753,1.06,10.6923,1146000000.0,2.445,0.5315,-0.545741,-0.119693,-0.05259,-0.1566,-0.574451,0.055413,-0.027926,1.46,49116000000.0,17817000000.0,160640000000.0,93053000000.0,35925000000.0,9211000000.0,9211000000.0,1036000000.0,-15032000000.0,18289000000.0
